0 0 -1
0 1 -1
0 2 -1
1 1 -1
1 2 -1
1 3 -1
0 5638 -1
0 5588 -1
0 6337 -1
0 5571 -1
0 4364 -1
0 733 -1
0 5 -1
0 5 -1
0 5 -1
0 5 -1
0 5 -1
0 6 -1
0 1000 -1
0 100 -1
0 10 -1
5 6 18
5 7 18
5 8 18
5 9 18
5 10 18
5 11 18
5 21 18
5 22 18
5 23 18
5 24 18
5 25 18
5 26 18
5 12 19
5 13 19
5 14 19
5 15 19
5 16 19
5 17 19
4 27 33
4 28 34
4 29 35
4 30 36
4 31 37
4 32 38
0 3224 -1
0 3935 -1
0 2726 -1
0 1804 -1
0 7025 -1
0 1848 -1
5 45 18
5 46 18
5 47 18
5 48 18
5 49 18
5 50 18
5 51 19
5 52 19
5 53 19
5 54 19
5 55 18
5 56 19
0 2870 -1
0 3435 -1
0 3616 -1
0 2618 -1
0 3075 -1
0 1478 -1
5 63 20
5 64 20
5 65 20
5 66 20
5 67 19
5 68 20
5 69 18
5 70 18
5 71 18
5 72 18
5 73 18
5 74 18
0 544 -1
0 902 -1
0 1850 -1
0 3820 -1
0 6900 -1
0 4346 -1
5 81 18
5 82 18
5 83 18
5 84 18
5 85 18
5 86 18
5 87 19
5 88 19
5 89 19
5 90 19
5 91 19
5 92 20
0 468 -1
0 348 -1
0 230 -1
0 190 -1
0 140 -1
0 6 -1
5 99 18
5 100 18
5 101 18
5 102 18
5 103 18
5 104 18
5 105 19
5 106 19
5 107 19
5 108 19
5 109 19
5 110 20
0 412 -1
0 443 -1
0 490 -1
0 510 -1
0 555 -1
0 670 -1
0 440 -1
3 117 123
3 118 123
3 119 123
3 120 123
3 121 123
0 230 -1
3 1 75
3 1 76
3 1 77
3 1 78
3 1 79
3 1 80
0 123 -1
0 10000 -1
5 136 137
3 0 138
4 139 124
4 139 125
4 139 126
4 139 127
4 139 128
4 139 129
14 140 -1
14 141 -1
14 142 -1
14 143 -1
14 144 -1
14 145 -1
0 4 -1
5 152 19
4 146 153
4 147 153
4 148 153
4 149 153
4 150 153
4 151 153
0 17 -1
5 160 18
3 0 161
4 162 124
4 162 125
4 162 126
4 162 127
4 162 128
4 162 129
14 163 -1
14 164 -1
14 165 -1
14 166 -1
14 167 -1
14 168 -1
0 550 -1
5 175 117
5 175 118
5 175 119
5 175 120
5 175 121
5 175 122
0 3 -1
5 182 20
4 183 176
4 183 177
4 183 178
4 183 179
4 183 180
4 183 181
5 117 121
5 118 121
5 119 121
5 120 121
5 121 121
5 122 121
5 1 2
3 0 196
6 190 197
6 191 197
6 192 197
6 193 197
6 194 197
6 195 197
0 51 -1
5 204 19
4 205 198
4 205 199
4 205 200
4 205 201
4 205 202
4 205 203
0 183 -1
5 212 137
4 213 111
4 213 112
4 213 113
4 213 114
4 213 115
4 213 116
4 213 184
4 213 185
4 213 186
4 213 187
4 213 188
4 213 189
4 213 206
4 213 207
4 213 208
4 213 209
4 213 210
4 213 211
6 3 130
6 3 131
6 3 132
6 3 133
6 3 134
6 3 135
4 57 232
4 58 232
4 59 232
4 60 232
4 61 232
4 62 232
2 93 238
2 94 239
2 95 240
2 96 241
2 97 242
2 98 243
4 4 154
4 4 155
4 4 156
4 4 157
4 4 158
4 4 159
2 244 250
2 245 251
2 246 252
2 247 253
2 248 254
2 249 255
4 5 169
4 5 170
4 5 171
4 5 172
4 5 173
4 5 174
2 256 262
2 257 263
2 258 264
2 259 265
2 260 266
2 261 267
0 62 -1
5 274 19
6 3 275
4 276 220
4 276 221
4 276 222
4 276 223
4 276 224
4 276 225
2 214 277
2 215 278
2 216 279
2 217 280
2 218 281
2 219 282
4 226 4
4 227 4
4 228 4
4 229 4
4 230 4
4 231 4
2 283 289
2 284 290
2 285 291
2 286 292
2 287 293
2 288 294
5 268 295
5 269 296
5 270 297
5 271 298
5 272 299
5 273 300
2 301 1
2 302 1
2 303 1
2 304 1
2 305 1
2 306 1
0 44 -1
5 313 18
5 314 307
5 314 308
5 314 309
5 314 310
5 314 311
5 314 312
3 315 27
3 316 28
3 317 29
3 318 30
3 319 31
3 320 32
5 321 39
5 322 40
5 323 41
5 324 42
5 325 43
5 326 44
6 327 2
6 328 2
6 329 2
6 330 2
6 331 2
6 332 2
4 197 333
4 197 334
4 197 335
4 197 336
4 197 337
4 197 338
14 339 -1
14 340 -1
14 341 -1
14 342 -1
14 343 -1
14 344 -1
4 345 346
4 347 348
4 349 350
4 351 352
4 353 354
