0 0 -1 
0 1 -1 
0 2 -1 
1 1 -1 
1 2 -1 
1 3 -1 
0 3 -1 
4 6 4 
12 7 -1 
0 4 -1 
4 9 8 
0 7 -1 
4 11 3 
0 56 -1 
3 13 12 
0 6 -1 
4 15 3 
5 16 14 
5 1 2 
6 17 18 
4 3 19 
4 6 3 
2 21 20 
5 10 22 
0 120 -1 
3 23 24 
4 2 3 
3 25 26 
4 2 4 
2 1 28 
4 11 5 
4 30 29 
3 27 31 
4 15 4 
0 8 -1 
4 34 4 
2 35 11 
5 33 36 
2 18 37 
16 38 -1 
3 32 39 
0 13 -1 
2 7 41 
6 42 2 
4 6 5 
5 43 44 
2 40 45 
4 2 5 
0 5 -1 
3 47 48 
0 20 -1 
4 50 5 
4 51 49 
3 46 52 
0 9 -1 
0 10 -1 
5 54 55 
4 56 5 
18 57 -1 
4 48 3 
4 59 58 
4 48 4 
6 61 18 
5 60 62 
2 53 63 
7 44 -1 
4 50 4 
4 66 65 
3 64 67 
